iter	Passed	Remaining
162	2291	11765
163	2304	11746
164	2315	11716
165	2325	11686
166	2337	11661
167	2349	11635
168	2359	11599
169	2369	11569
170	2380	11542
171	2392	11516
172	2403	11487
173	2416	11473
174	2430	11458
175	2450	11472
176	2468	11479
177	2486	11482
178	2506	11498
179	2530	11528
180	2546	11521
181	2576	11579
182	2589	11561
183	2603	11547
184	2616	11525
185	2630	11512
186	2642	11488
187	2654	11466
188	2664	11435
189	2679	11421
190	2690	11397
191	2705	11384
192	2715	11354
193	2725	11324
194	2738	11305
195	2750	11281
196	2766	11274
197	2777	11250
198	2792	11241
199	2810	11241
200	2823	11222
201	2835	11201
202	2846	11173
203	2855	11142
204	2868	11123
205	2878	11096
206	2890	11071
207	2901	11046
208	2916	11038
209	2927	11011
210	2936	10978
211	2948	10959
212	2958	10933
213	2970	10910
214	2984	10895
215	2999	10888
216	3017	10887
217	3033	10880
218	3049	10873
219	3067	10877
220	3093	10903
221	3134	10986
222	3145	10959
223	3164	10961
224	3178	10948
225	3193	10937
226	3207	10921
227	3223	10913
228	3236	10897
229	3253	10891
230	3265	10870
231	3283	10868
232	3296	10852
233	3306	10823
234	3320	10810
235	3335	10796
236	3346	10772
237	3354	10740
238	3366	10718
239	3375	10690
240	3385	10662
241	3402	10655
242	3414	10635
243	3422	10603
244	3433	10581
245	3443	10554
246	3451	10522
247	3461	10497
248	3475	10481
249	3485	10455
250	3495	10429
251	3504	10401
252	3513	10374
253	3524	10352
254	3536	10331
255	3547	10310
256	3562	10297
257	3577	10288
258	3587	10264
259	3597	10239
260	3607	10213
261	3617	10189
262	3625	10160
263	3634	10132
264	3643	10105
265	3654	10083
266	3662	10054
267	3670	10025
268	3679	10000
269	3687	9970
270	3695	9940
271	3703	9912
272	3715	9895
273	3726	9873
274	3734	9846
275	3742	9817
276	3749	9787
277	3758	9760
278	3766	9732
279	3775	9707
280	3787	9689
281	3800	9675
282	3814	9663
283	3826	9647
284	3837	9628
285	3849	9609
286	3860	9591
287	3871	9571
288	3881	9549
289	3891	9528
290	3902	9508
291	3911	9484
292	3922	9464
293	3931	9441
294	3941	9418
295	3950	9395
296	3959	9371
297	3972	9358
298	3985	9344
299	3999	9331
300	4008	9309
301	4018	9288
302	4029	9269
303	4043	9256
304	4055	9240
305	4064	9219
306	4073	9195
307	4081	9171
308	4090	9146
309	4098	9121
310	4105	9096
311	4113	9070
312	4123	9050
313	4132	9028
314	4142	9008
315	4150	8983
316	4158	8960
317	4166	8936
318	4174	8912
319	4182	8886
320	4190	8864
321	4199	8842
322	4207	8817
323	4214	8793
324	4223	8771
325	4231	8748
326	4238	8723
327	4246	8699
328	4253	8675
329	4262	8654
330	4270	8631
331	4278	8608
332	4287	8588
333	4295	8565
334	4304	8544
335	4311	8519
336	4319	8498
337	4328	8477
338	4339	8460
339	4346	8438
340	4356	8418
341	4367	8402
342	4378	8386
343	4389	8371
344	4403	8360
345	4416	8347
346	4432	8341
347	4445	8329
348	4454	8309
349	4475	8310
350	4485	8294
351	4496	8276
352	4505	8258
353	4516	8242
354	4529	8229
355	4540	8214
356	4549	8194
357	4558	8175
358	4566	8154
359	4577	8137
360	4586	8118
361	4594	8097
362	4603	8078
363	4612	8059
364	4622	8042
365	4631	8022
366	4638	8001
367	4647	7982
368	4656	7962
369	4664	7941
370	4672	7922
371	4681	7903
372	4689	7883
373	4698	7864
374	4706	7843
375	4714	7823
376	4725	7808
377	4733	7788
378	4748	7781
379	4788	7812
380	4827	7843
381	4866	7872
382	4897	7889
383	4915	7884
384	4923	7864
385	4932	7846
386	4941	7826
387	4949	7807
388	4958	7788
389	4966	7767
390	4974	7747
391	4981	7725
392	4988	7705
393	4996	7685
394	5004	7665
395	5014	7648
396	5022	7628
397	5030	7608
398	5039	7590
399	5048	7572
400	5056	7553
401	5064	7533
402	5071	7512
403	5078	7491
404	5085	7471
405	5093	7451
406	5101	7433
407	5109	7413
408	5117	7394
409	5122	7371
410	5130	7352
411	5137	7331
412	5144	7311
413	5151	7292
414	5159	7272
415	5166	7252
416	5172	7231
417	5179	7211
418	5189	7195
419	5196	7176
420	5203	7156
421	5210	7136
422	5216	7116
423	5222	7095
424	5230	7076
425	5237	7057
426	5244	7037
427	5250	7017
428	5257	6997
429	5264	6978
430	5271	6958
431	5278	6940
432	5285	6920
433	5292	6901
434	5298	6881
435	5305	6862
436	5312	6844
437	5319	6825
438	5327	6808
439	5334	6788
440	5340	6769
441	5346	6749
442	5352	6730
443	5358	6710
444	5365	6691
445	5371	6672
446	5378	6653
447	5385	6635
448	5393	6618
449	5401	6602
450	5408	6583
451	5415	6565
452	5421	6545
453	5427	6527
454	5433	6508
455	5440	6490
456	5446	6471
457	5453	6454
458	5461	6437
459	5469	6420
460	5476	6402
461	5483	6385
462	5490	6368
463	5497	6350
464	5504	6332
465	5510	6314
466	5517	6297
467	5524	6280
468	5532	6263
469	5538	6246
470	5545	6228
471	5552	6211
472	5559	6194
473	5567	6177
474	5573	6160
475	5581	6144
476	5589	6127
477	5601	6117
478	5608	6100
479	5616	6084
480	5623	6067
481	5631	6052
482	5638	6035
483	5646	6019
484	5653	6002
485	5660	5986
486	5667	5969
487	5674	5953
488	5682	5937
489	5688	5920
490	5696	5904
491	5703	5888
492	5710	5872
493	5716	5855
494	5723	5838
495	5730	5822
496	5738	5808
497	5746	5792
498	5753	5776
499	5760	5760
500	5768	5745
501	5774	5728
502	5781	5712
503	5788	5696
504	5795	5680
505	5802	5665
506	5809	5649
507	5816	5633
508	5822	5616
509	5828	5600
510	5834	5583
511	5846	5571
512	5855	5559
513	5864	5544
514	5873	5531
515	5880	5516
516	5888	5501
517	5895	5486
518	5903	5471
519	5910	5455
520	5917	5440
521	5925	5425
522	5933	5411
523	5940	5396
524	5949	5382
525	5957	5368
526	5963	5352
527	5970	5336
528	5978	5322
529	5984	5306
530	5990	5291
531	5998	5276
532	6006	5262
533	6015	5249
534	6022	5234
535	6031	5221
536	6038	5206
537	6045	5191
538	6053	5177
539	6061	5163
540	6070	5150
541	6080	5138
542	6089	5124
543	6097	5110
544	6104	5096
545	6112	5082
546	6119	5068
547	6127	5054
548	6134	5039
549	6142	5025
550	6150	5011
551	6159	4998
552	6166	4984
553	6175	4971
554	6184	4959
555	6193	4945
556	6200	4931
557	6207	4917
558	6215	4903
559	6222	4889
560	6229	4874
561	6237	4860
562	6243	4846
563	6250	4831
564	6257	4817
565	6264	4803
566	6270	4788
567	6277	4774
568	6285	4761
569	6292	4747
570	6303	4736
571	6311	4722
572	6319	4709
573	6326	4695
574	6334	4681
575	6341	4667
576	6349	4654
577	6355	4640
578	6364	4627
579	6372	4614
580	6381	4602
581	6389	4588
582	6397	4575
583	6403	4561
584	6410	4547
585	6418	4534
586	6425	4521
587	6433	4507
588	6439	4493
589	6447	4480
590	6454	4466
591	6461	4453
592	6468	4439
593	6475	4426
594	6484	4413
595	6492	4400
596	6500	4387
597	6508	4374
598	6514	4361
599	6521	4347
600	6527	4333
601	6533	4319
602	6539	4305
603	6546	4291
604	6552	4277
605	6558	4264
606	6565	4250
607	6571	4237
608	6580	4224
609	6588	4212
610	6595	4198
611	6601	4185
612	6608	4172
613	6615	4158
614	6621	4145
615	6628	4132
616	6635	4118
617	6641	4105
618	6649	4092
619	6657	4080
620	6663	4066
621	6671	4054
622	6678	4041
623	6686	4029
624	6694	4016
625	6702	4004
626	6709	3991
627	6720	3980
628	6727	3968
629	6735	3955
630	6742	3943
631	6750	3930
632	6758	3918
633	6766	3906
634	6773	3893
635	6780	3880
636	6787	3867
637	6794	3855
638	6801	3842
639	6808	3829
640	6816	3817
641	6823	3804
642	6829	3792
643	6836	3779
644	6844	3767
645	6853	3755
646	6861	3743
647	6869	3731
648	6877	3719
649	6884	3707
650	6892	3694
651	6898	3682
652	6905	3669
653	6911	3656
654	6918	3644
655	6926	3632
656	6934	3620
657	6943	3608
658	6949	3596
659	6958	3584
660	6965	3572
661	6976	3562
662	6985	3550
663	6992	3538
664	7001	3526
665	7008	3514
666	7015	3502
667	7022	3490
668	7030	3478
669	7036	3465
670	7043	3453
671	7050	3441
672	7056	3428
673	7063	3416
674	7069	3403
675	7075	3391
676	7081	3378
677	7087	3366
678	7094	3353
679	7101	3341
680	7109	3330
681	7117	3318
682	7124	3306
683	7132	3295
684	7142	3284
685	7150	3273
686	7157	3261
687	7164	3249
688	7172	3237
689	7179	3225
690	7187	3213
691	7194	3202
692	7201	3190
693	7208	3178
694	7214	3166
695	7221	3154
696	7229	3142
697	7237	3131
698	7245	3119
699	7253	3108
700	7260	3097
701	7267	3085
702	7274	3073
703	7281	3061
704	7288	3049
705	7296	3038
706	7302	3026
707	7310	3014
708	7316	3002
709	7323	2991
710	7329	2979
711	7338	2968
712	7345	2956
713	7352	2945
714	7360	2933
715	7367	2922
716	7373	2910
717	7379	2898
718	7386	2886
719	7394	2875
720	7401	2864
721	7409	2853
722	7416	2841
723	7424	2830
724	7433	2819
725	7440	2808
726	7447	2796
727	7454	2785
728	7462	2774
729	7469	2762
730	7478	2751
731	7486	2741
732	7494	2729
733	7501	2718
734	7509	2707
735	7518	2696
736	7525	2685
737	7534	2674
738	7542	2663
739	7550	2652
740	7558	2641
741	7566	2630
742	7573	2619
743	7583	2609
744	7589	2597
745	7596	2586
746	7606	2576
747	7615	2565
748	7622	2554
749	7630	2543
750	7637	2532
751	7645	2521
752	7652	2510
753	7659	2499
754	7666	2487
755	7673	2476
756	7680	2465
757	7687	2454
758	7695	2443
759	7707	2433
760	7714	2422
761	7721	2411
762	7727	2400
763	7734	2389
764	7741	2378
765	7748	2367
766	7755	2355
767	7762	2344
768	7768	2333
769	7776	2322
770	7783	2311
771	7792	2301
772	7799	2290
773	7807	2279
774	7813	2268
775	7820	2257
776	7827	2246
777	7835	2235
778	7844	2225
779	7852	2214
780	7859	2203
781	7866	2192
782	7873	2182
783	7880	2171
784	7888	2160
785	7896	2150
786	7905	2139
787	7915	2129
788	7924	2119
789	7933	2108
790	7942	2098
791	7949	2087
792	7956	2076
793	7963	2066
794	7970	2055
795	7978	2044
796	7987	2034
797	7995	2023
798	8001	2012
799	8009	2002
800	8015	1991
801	8022	1980
802	8028	1969
803	8034	1958
804	8041	1947
805	8048	1937
806	8055	1926
807	8062	1915
808	8068	1904
809	8076	1894
810	8083	1883
811	8091	1873
812	8099	1863
813	8107	1852
814	8115	1842
815	8123	1831
816	8133	1821
817	8143	1811
818	8152	1801
819	8162	1791
820	8173	1782
821	8183	1771
822	8193	1762
823	8203	1752
824	8213	1742
825	8222	1732
826	8230	1721
827	8240	1711
828	8249	1701
829	8259	1691
830	8269	1681
831	8277	1671
832	8286	1661
833	8295	1651
834	8303	1640
835	8312	1630
836	8319	1620
837	8327	1609
838	8335	1599
839	8343	1589
840	8354	1579
841	8363	1569
842	8372	1559
843	8382	1549
844	8393	1539
845	8402	1529
846	8412	1519
847	8423	1509
848	8432	1499
849	8441	1489
850	8454	1480
851	8463	1470
852	8471	1459
853	8483	1450
854	8493	1440
855	8502	1430
856	8512	1420
857	8522	1410
858	8531	1400
859	8539	1390
860	8546	1379
861	8553	1369
862	8563	1359
863	8573	1349
864	8581	1339
865	8589	1329
866	8595	1318
867	8604	1308
868	8613	1298
869	8622	1288
870	8629	1278
871	8637	1267
872	8644	1257
873	8652	1247
874	8659	1237
875	8667	1226
876	8674	1216
877	8681	1206
878	8692	1196
879	8701	1186
880	8709	1176
881	8719	1166
882	8728	1156
883	8741	1147
884	8752	1137
885	8761	1127
886	8769	1117
887	8778	1107
888	8796	1098
889	8803	1088
890	8812	1078
891	8819	1067
892	8829	1057
893	8838	1047
894	8846	1037
895	8852	1027
896	8861	1017
897	8869	1007
898	8880	997
899	8891	987
900	8898	977
901	8906	967
902	8914	957
903	8923	947
904	8931	937
905	8939	927
906	8946	917
907	8954	907
908	8962	897
909	8970	887
910	8976	877
911	8984	866
912	8992	856
913	9001	846
914	9009	836
915	9020	827
916	9026	817
917	9034	807
918	9041	796
919	9050	787
920	9058	776
921	9065	766
922	9073	756
923	9083	747
924	9090	737
925	9098	727
926	9105	717
927	9113	707
928	9120	697
929	9129	687
930	9138	677
931	9147	667
932	9155	657
933	9166	647
934	9175	637
935	9184	628
936	9194	618
937	9202	608
938	9212	598
939	9221	588
940	9229	578
941	9238	568
942	9246	558
943	9254	549
944	9263	539
945	9275	529
946	9285	519
947	9293	509
948	9308	500
949	9317	490
950	9342	481
951	9348	471
952	9356	461
953	9364	451
954	9373	441
955	9383	431
956	9391	422
957	9401	412
958	9409	402
959	9420	392
960	9430	382
961	9438	372
962	9446	362
963	9455	353
964	9466	343
965	9480	333
966	9488	323
967	9495	313
968	9503	304
969	9512	294
970	9520	284
971	9527	274
972	9534	264
973	9541	254
974	9549	244
975	9559	235
976	9565	225
977	9573	215
978	9579	205
979	9586	195
980	9594	185
981	9601	175
982	9611	166
983	9618	156
984	9625	146
985	9632	136
986	9643	127
987	9649	117
988	9657	107
989	9664	97
990	9672	87
991	9680	78
992	9689	68
993	9696	58
994	9708	48
995	9714	39
996	9723	29
997	9730	19
998	9738	9
999	9745	0
